seed,batch_label,spearman,nrmse,evals_desde_reinicio_train_fin
1,1-20%,0.244255474826219,131.6927070997635,1151
1,21-40%,0.2686723795148952,58.321855248788516,5252
1,41-60%,0.1679289877411595,24.42310608850065,10053
1,61-80%,0.49277749596709997,25.98222265507733,14904
2,1-20%,0.2365807869672315,32.98674652647227,1351
2,21-40%,0.3113492813499713,38.66509056226168,6202
2,41-60%,0.21202447491297902,72.75561559368423,10203
2,61-80%,0.4797933058477323,22.99034196745774,14604
3,1-20%,0.3789269280850772,23.318598244320405,3251
3,21-40%,0.23699891306395654,29.46558144079245,6852
3,41-60%,0.29029625375585016,27.71729303470283,11203
3,61-80%,0.5086429190337167,51.3674312114637,605
4,1-20%,0.12321565356862615,33.39193545518155,2001
4,21-40%,0.3287052652762107,48.46348492440947,6152
4,41-60%,0.17130969162038767,30.439961531769605,11303
4,61-80%,0.5495332046373282,18.262613151784585,15104
5,1-20%,0.2431551639662066,14.938629350734837,2401
5,21-40%,0.30966429523457184,37.79601956966773,6952
5,41-60%,0.32621096610443867,19.34018393193808,12203
5,61-80%,0.5410274240090971,25.26154908041945,555
6,1-20%,0.2173167878926715,40.386955394179594,2951
6,21-40%,0.2551635939185438,25.724889304192796,8002
6,41-60%,0.44464315749772637,25.698566189999372,12603
6,61-80%,0.380614724312589,55.96111335370537,1455
7,1-20%,0.28433980324559216,24.912119846754013,2901
7,21-40%,0.32446681077067246,33.299633202055006,7202
7,41-60%,0.27247370971494844,15.432256494614403,11653
7,61-80%,0.5440564787222593,89.26748053627028,955
8,1-20%,0.2111158920926357,34.91891926523002,2551
8,21-40%,0.34821530362461217,54.5408380733117,6852
8,41-60%,0.3297709393348376,29.20856804322521,12253
8,61-80%,0.5690290345051614,23.135379871798982,16004
9,1-20%,0.26908538247541536,11.868339730971108,2101
9,21-40%,0.297245774385831,21.037035020815093,5852
9,41-60%,0.20721871587274865,40.892955815519834,9703
9,61-80%,0.41892623256504935,33.467469871331964,13754
10,1-20%,0.24514629044585165,10.134995510590842,2951
10,21-40%,0.265334399573376,20.416602202717026,7552
10,41-60%,0.24438158811126354,21.91438179312951,11453
10,61-80%,0.49273144812525793,18.894511217774692,5
11,1-20%,0.14091424816456993,18.086362822845523,2001
11,21-40%,0.14397995174319808,26.649406279165095,5852
11,41-60%,0.2742397825215913,40.357018910538386,9903
11,61-80%,0.5215436427177458,22.02967923215545,14554
12,1-20%,0.10585594541823784,23.82956648060114,1751
12,21-40%,0.19479805518392224,24.641523261373973,6302
12,41-60%,0.215809699960388,24.11278507254552,10503
12,61-80%,0.5375121360924855,240.57155480843147,205
13,1-20%,0.43788599869944,26.881411168439403,1801
13,21-40%,0.3427771346710854,22.61955679499055,5652
13,41-60%,0.15762522860900918,31.435801546752458,10253
13,61-80%,0.46095238071009526,38.48473374881823,14454
14,1-20%,0.11965729112229165,107.98411910630129,1251
14,21-40%,0.3570704625388185,28.958159220451687,6052
14,41-60%,0.18650797571631905,20.21312079235724,11253
14,61-80%,0.4767389114535565,14.116854701633999,205
15,1-20%,0.1295089790363592,44.191482183378696,1201
15,21-40%,0.2382636366025455,27.355559073820125,4902
