funcion,p=0.00,p=0.50
f1,1949.16377161,1949.81276164
f2,458.450980392,603.823529412
f3,0.00247395886422,0.000952780684599
f4,0.925664230057,0.83911437541
f5,19.786325529,19.4614630974
f6,2.60529351529,2.93686990347
f7,37.1293773192,38.6497184399
f8,18.8651697051,19.5372183789
f9,67.0261119903,52.9657373379
f10,916.989661246,1003.32189552
f11,66.0262478793,65.8632963836
f12,10126.637942,10124.6108299
f13,8104.4765261,8361.80267191
f14,90.2124017224,159.503335892
f15,3858.88088886,3758.69402793
f16,235.659503342,232.055605832
f17,41.5691191741,47.1752053845
f18,10689.9246503,11237.3043992
f19,1095.21475605,1099.57914435
f20,32.7442680148,39.8132182529
f21,113.194517992,124.808692851
f22,103.556510039,104.707342393
f23,325.188022717,326.063976893
f24,270.928871159,242.868586362
f25,433.763134464,434.208217404
f26,377.463668017,364.401000877
f27,399.712083644,398.683780351
f28,397.671262421,400.241630601
f29,307.846698783,316.663353276
f30,335342.249364,335484.618395
Funciones ganadas,19,11
