funcion,p=0.00,p=0.50
f1,8.35932630306e-16,5.57288420204e-16
f2,0,0
f3,0,0
f4,1.92605355322,0.877662617429
f5,15.9274514661,6.96933927779
f6,3.72268664696e-12,1.32634644009e-12
f7,30.1166135816,29.8676917377
f8,14.6654881504,11.6756275762
f9,0,0
f10,306.248303078,294.477580217
f11,0.649647449076,0.324391483947
f12,36.7776489636,41.3376960081
f13,3.91196025698,4.1083635769
f14,0.234108013437,0.312161112908
f15,0.122496749993,0.188048825557
f16,3.68175242783,3.25713220947
f17,2.01506908971,2.14811675398
f18,1.33746999343,1.69294199717
f19,0.00530011802051,0.00953452910478
f20,0.189752371821,0.203221067435
f21,154.339910706,127.675307382
f22,90.6343438061,84.6237220373
f23,307.037651722,306.690327899
f24,321.6836385,331.042227574
f25,407.083753245,406.197742081
f26,300,300
f27,389.380442051,389.32444554
f28,324.506898912,328.240924486
f29,230.477989871,230.881304919
f30,629.938793166,16515.6855152
Funciones ganadas,14.5,15.5
