,AGE,AGE-1,AGE-3,AGE-5,AGE-7,AGE-10
F01,2037.2805022537,1978.1891931923,1926.8590023913,2149.879055966,2294.2236913673,2535.853298377
F02,1037.7450980392,65.28125,492.1666666667,505.4333333333,404.9259259259,1598.8387096774
F03,0.0017706923,0.0022980232,0.0022688928,0.0018724987,0.0018573136,0.0017706923
F04,0.8871405951,0.9223974037,0.8871401007,0.9048314318,0.8871405951,0.8871405951
F05,25.7547107255,17.9829342963,25.4935253214,24.8739193929,23.2004059643,25.5615841667
F06,7.7672154964,2.1818757783,2.8285861568,5.0119101075,5.8280302393,6.8833153461
F07,49.5341807843,36.3651928571,42.7922873913,41.7089138095,43.3998405,48.786747931
F08,23.7537797255,20.1127298214,21.6211759231,20.3785634444,20.8493297727,22.2788061304
F09,245.5368655686,54.3112929227,162.4638060667,205.4836643636,207.9888091538,210.1027781081
F10,1161.7764784314,939.8971892857,972.2869572,1069.9400212121,1112.320673913,1105.5352571429
F11,53.9031068039,53.6267789574,55.0325461429,55.8059289792,54.8701522653,54.62296534
F12,11909.397027451,10543.08325,11145.0651533333,12148.7840741936,13945.3839290323,12654.188584375
F13,10142.1772745098,9961.1290414634,9844.7234583333,10651.6522083333,10295.61612,10300.4407
F14,5728.8141452941,92.6507108333,299.0293323333,1410.0516447619,2756.7241588571,4831.7474220588
F15,5996.615216451,6071.0766744222,6051.83978238,6047.63992078,6086.28122078,6086.28122078
F16,223.3012122909,222.6936388511,216.73016638,229.78926332,230.0070829796,230.0070829796
F17,93.425312549,47.1585612903,48.5806448,55.7842784615,68.3001344444,81.2358733333
F18,13224.9892039216,14181.0571923077,14800.5392541667,13866.0336068965,14549.8455325,15015.2331697674
F19,7388.3443023529,1401.1810609615,3161.2881903704,5617.9912818182,6563.6725251613,8812.3238155556
F20,98.9714576529,32.7018639385,48.7588109677,44.5380081467,50.5427762136,61.0550324
F21,215.6615588235,121.5546677419,152.0335708333,161.9297928571,173.5825043478,196.8690619048
F22,118.637145098,107.2538483871,108.0661346154,110.361565,112.5748611111,116.2935689655
F23,327.5689352941,323.5068709677,326.2348466667,324.9686096774,325.9890971429,327.1060410256
F24,357.2203235294,296.834662963,338.4468222222,339.399776,332.9629030303,358.0362741935
F25,442.0772862745,433.5639666667,438.4888210526,436.9755214286,439.2540458333,439.3897916667
F26,750.0265588235,405.30358,444.6302956522,504.9742821429,522.023847619,651.3685052632
F27,418.6022215686,400.3537071429,402.9195083333,405.0651090909,406.2950172414,409.62597
F28,512.0004058824,399.7962,465.7095172414,505.9716333333,459.1197241379,509.0829782609
F29,364.6442960784,306.2547538462,323.1026571429,340.9569580645,346.6026551724,372.4129409091
F30,265100.1312549019,235708.05388,265100.1312549019,291446.729974359,265100.1312549019,265100.1312549019
Best,3,23,4,0,0,1
