,DE,DE-1,DE-3,DE-5,DE-7,DE-10
F01,0,7.690000000000001e-08,1e-09,0,0,5.572882353e-16
F02,3.431372549,0,0,0,0,0
F03,0,8.470000000000001e-08,1e-09,0,0,0
F04,1.9846133961,1.9846133961,1.9846133961,1.9846133961,1.9846133961,1.9846133961
F05,6.697862451,32.1099623529,27.6501433333,25.4708578039,19.8779140412,14.9696152157
F06,0,8.388999999999999e-07,5.190000000000001e-08,2.6e-09,1e-10,0
F07,19.8435296471,44.9162696078,38.8538541176,36.6145156863,34.1415598039,30.7642035294
F08,7.9615458627,33.8166864706,28.6540094118,24.7481669608,23.0961204922,15.0234457843
F09,0,4.06e-08,3e-10,0,0,0
F10,302.7403587843,703.0779980392,374.2176786275,346.2795627059,257.2452211373,250.1927996078
F11,0.823807461,8.075702451,0.7359240168000001,0.7350555099,0.7652816653000001,0.7457714872
F12,43.0013867586,83.3472622315,33.5054056257,31.8494867613,29.9707771253,30.5426229194
F13,4.0742148255,12.7334608431,5.8806691006,4.1636058681,3.9615321463,4.0547058647
F14,0.5657610412,22.1272247076,1.8750870252,0.3907298323,0.3901802742,0.3316532746
F15,0.314903935,3.4334157208,0.09112118670000001,0.1288948136,0.1564190739,0.0902603488
F16,4.0639820721,5.4415920922,1.5876819518,1.7774756753,1.7334703106,1.9650560217
F17,4.4162278797,27.630807451,6.8531903418,2.2652000194,2.9001274655,2.1214102254
F18,0.7168371835,5.3399117361,0.1281509958,0.1373578321,0.1108896589,0.1523086906
F19,0.1320161949,0.4120108546,0.005728357000000001,0.04880149120000001,0.0333796864,0.0352132054
F20,0.3228778118,5.0468668449,0.6064766719,0.2269868559,0.245987651,0.1897523864
F21,181.2287882353,101.0950235294,102.8444352941,117.5552490196,149.565845098,147.1316568627
F22,85.8076103922,66.8067973192,74.8977462772,80.5485780889,74.9104241861,74.1908083747
F23,306.9536647059,328.7045196078,317.9191411765,307.2830666667,306.6986372549,306.0603960784
F24,328.7724509804,192.7080529462,257.8613117647,303.4924588235,305.9291764706,310.5903137255
F25,412.7551039216,398.946027451,403.4737803922,405.278254902,406.2016823529,403.4953
F26,305.5079705882,300,300,300,300,300
F27,390.4636137255,389.2999470588,389.3138333333,389.3461411765,389.3615392157,389.3717019608
F28,370.405545098,302.0392882353,303.9327941176,313.5591039216,319.3345137255,308.4086803922
F29,230.2707490196,266.2082529412,236.180727451,230.0335254902,230.0861352941,230.1401627451
F30,151360.6732058823,538.0819941176,592.8974627451,590.1099588235,646.5262176471,641.5622784314
Best,6,7,2,2,3,8
