funcid,dim,milestone,error
1,10,1,2.032342e+09
1,10,2,2.083395e+08
1,10,3,4.728971e+07
1,10,5,4.995252e+06
1,10,10,1.023107e+05
1,10,20,2.999348e+04
1,10,30,7.625192e+03
1,10,40,7.625192e+03
1,10,50,7.625192e+03
1,10,60,7.625192e+03
1,10,70,7.625192e+03
1,10,80,7.625192e+03
1,10,90,7.625192e+03
1,10,100,7.625192e+03
1,10,1,2.032342e+09
1,10,2,2.083395e+08
1,10,3,4.728971e+07
1,10,5,4.995252e+06
1,10,10,4.995252e+06
1,10,20,4.995252e+06
1,10,30,1.109486e+06
1,10,40,2.069576e+04
1,10,50,2.069576e+04
1,10,60,2.069576e+04
1,10,70,2.069576e+04
1,10,80,2.069576e+04
1,10,90,2.069576e+04
1,10,100,2.069576e+04
1,10,1,2.015359e+09
1,10,2,2.832979e+08
1,10,3,5.258790e+07
1,10,5,1.512797e+06
1,10,10,6.047822e+04
1,10,20,6.047822e+04
1,10,30,1.077335e+04
1,10,40,1.077335e+04
1,10,50,1.077335e+04
1,10,60,1.378630e+03
1,10,70,1.378630e+03
1,10,80,1.378630e+03
1,10,90,1.378630e+03
1,10,100,1.378630e+03
1,10,1,2.015359e+09
1,10,2,2.832979e+08
1,10,3,5.258790e+07
1,10,5,1.512797e+06
1,10,10,6.047822e+04
1,10,20,6.047822e+04
1,10,30,6.047822e+04
1,10,40,4.157948e+04
1,10,50,4.751512e+03
1,10,60,4.751512e+03
1,10,70,4.751512e+03
1,10,80,4.751512e+03
1,10,90,4.751512e+03
1,10,100,4.751512e+03
1,10,1,1.324270e+09
1,10,2,3.907785e+08
1,10,3,5.635727e+07
1,10,5,1.628225e+06
1,10,10,1.628225e+06
1,10,20,1.580419e+05
1,10,30,1.580419e+05
1,10,40,1.580419e+05
1,10,50,1.580419e+05
1,10,60,1.580419e+05
1,10,70,8.953866e+03
1,10,80,8.953866e+03
1,10,90,8.953866e+03
1,10,100,8.953866e+03
1,10,1,1.324270e+09
1,10,2,3.907785e+08
1,10,3,5.635727e+07
1,10,5,1.628225e+06
1,10,10,1.628225e+06
1,10,20,3.131761e+04
1,10,30,3.131761e+04
1,10,40,3.131761e+04
1,10,50,1.766813e+03
1,10,60,1.766813e+03
1,10,70,1.622122e+03
1,10,80,1.622122e+03
1,10,90,1.622122e+03
1,10,100,1.622122e+03
1,10,1,1.745418e+09
1,10,2,1.553651e+08
1,10,3,2.331181e+07
1,10,5,1.005571e+06
1,10,10,1.442736e+04
1,10,20,1.442736e+04
1,10,30,8.982718e+03
1,10,40,8.982718e+03
1,10,50,8.982718e+03
1,10,60,8.982718e+03
1,10,70,8.982718e+03
1,10,80,8.982718e+03
1,10,90,8.982718e+03
1,10,100,8.982718e+03
1,10,1,1.745418e+09
1,10,2,1.553651e+08
1,10,3,2.331181e+07
1,10,5,1.005571e+06
1,10,10,1.442736e+04
1,10,20,1.442736e+04
1,10,30,1.442736e+04
1,10,40,1.094130e+04
1,10,50,1.094130e+04
1,10,60,1.094130e+04
1,10,70,5.010223e+03
1,10,80,5.010223e+03
1,10,90,5.010223e+03
1,10,100,5.010223e+03
1,10,1,1.040797e+09
1,10,2,1.016469e+08
1,10,3,2.329820e+07
1,10,5,3.222993e+06
1,10,10,8.961808e+04
1,10,20,8.961808e+04
1,10,30,8.961808e+04
1,10,40,8.961808e+04
1,10,50,8.961808e+04
1,10,60,8.961808e+04
1,10,70,8.961808e+04
1,10,80,8.961808e+04
1,10,90,5.100025e+03
1,10,100,5.100025e+03
1,10,1,1.040797e+09
1,10,2,1.016469e+08
1,10,3,2.329820e+07
1,10,5,3.222993e+06
1,10,10,6.970209e+04
1,10,20,2.544465e+04
1,10,30,2.544465e+04
1,10,40,2.544465e+04
1,10,50,1.526203e+04
1,10,60,5.768597e+03
1,10,70,5.768597e+03
1,10,80,5.768597e+03
1,10,90,2.670329e+03
1,10,100,2.670329e+03
