14

 0 1 1 2 3 4 5 6 7 8 9 10 11 12
 1 0 2 1 2 3 4 5 6 7 8 9 10 11
 1 2 0 2 1 2 3 4 5 6 7 8 9 10
 2 1 2 0 1 2 3 4 5 6 7 8 9 10
 3 2 1 1 0 1 2 3 4 5 6 7 8 9
 4 3 2 2 1 0 1 2 3 4 5 6 7 8
 5 4 3 3 2 1 0 1 2 3 4 5 6 7
 6 5 4 4 3 2 1 0 1 2 3 4 5 6
 7 6 5 5 4 3 2 1 0 1 2 3 4 5
 8 7 6 6 5 4 3 2 1 0 1 2 3 4
 9 8 7 7 6 5 4 3 2 1 0 1 2 3
 10 9 8 8 7 6 5 4 3 2 1 0 1 2
 11 10 9 9 8 7 6 5 4 3 2 1 0 1
 12 11 10 10 9 8 7 6 5 4 3 2 1 0

 0 1 2 3 4 5 6 7 8 9 10 11 12 13
 1 0 1 2 3 4 5 6 7 8 9 10 11 12
 2 1 0 1 2 3 4 5 6 7 8 9 10 11
 3 2 1 0 1 2 3 4 5 6 7 8 9 10
 4 3 2 1 0 1 2 3 4 5 6 7 8 9
 5 4 3 2 1 0 1 2 3 4 5 6 7 8
 6 5 4 3 2 1 0 1 2 3 4 5 6 7
 7 6 5 4 3 2 1 0 1 2 3 4 5 6
 8 7 6 5 4 3 2 1 0 1 2 3 4 5
 9 8 7 6 5 4 3 2 1 0 1 2 3 4
 10 9 8 7 6 5 4 3 2 1 0 1 2 3
 11 10 9 8 7 6 5 4 3 2 1 0 1 2
 12 11 10 9 8 7 6 5 4 3 2 1 0 1
 13 12 11 10 9 8 7 6 5 4 3 2 1 0
