dim,population,funcid,final_error
100,50,1,173052.44003828263
100,50,2,149.0
100,50,3,149271.33439177898
100,50,4,234.99132663415492
100,50,5,635.3547383239065
100,50,6,37.29242982025835
100,50,7,3964.148474840229
100,50,8,682.6486161757011
100,50,9,26648.03388053083
100,50,10,13558.540722817845
100,50,11,1534.7709117214413
100,50,12,4343209.051241101
100,50,13,22618.70235328238
100,50,14,365797.1978647503
100,50,15,3549.2723349309927
100,50,16,4236.793330784237
100,50,17,3475.0667377403515
100,50,18,354932.4962722983
100,50,19,1556.3377983215087
100,50,20,5458.282015792879
100,50,21,1042.2779571881024
100,50,22,20919.921855835248
100,50,23,1441.4563649251409
100,50,24,2381.3201495908816
100,50,25,801.2733413800179
100,50,26,18930.490546130673
100,50,27,1956.4368028781755
100,50,28,540.6974414258348
100,50,29,5477.576290897021
100,50,30,17860.90196033763
