dim,population,funcid,final_error
10,20,1,29.02269
10,20,2,6462.0
10,20,3,0.000638633
10,20,4,0.4241617
10,20,5,38.8033
10,20,6,22.31733
10,20,7,260.0285
10,20,8,8.954627
10,20,9,461.479
10,20,10,1168.365
10,20,11,184.8687
10,20,12,9732.943
10,20,13,365.4624
10,20,14,9653.191
10,20,15,1133.384
10,20,16,715.0408
10,20,17,178.6743
10,20,18,18722.34
10,20,19,12166.91
10,20,20,319.0001
10,20,21,248.2963
10,20,22,158.024
10,20,23,329.0781
10,20,24,361.4534
10,20,25,449.7363
10,20,26,1555.693
10,20,27,497.4517
10,20,28,300.0016
10,20,29,417.2488
10,20,30,1484705.0
10,50,1,269.1542
10,50,2,2136.0
10,50,3,0.0004601138
10,50,4,0.8922869
10,50,5,17.90923
10,50,6,0.4858764
10,50,7,51.55156
10,50,8,31.8386
10,50,9,648.156
10,50,10,1089.103
10,50,11,40.99908
10,50,12,5347.849
10,50,13,3370.425
10,50,14,93.14274
10,50,15,896.159
10,50,16,138.1241
10,50,17,143.1434
10,50,18,2718.226
10,50,19,175.898
10,50,20,257.7881
10,50,21,100.0
10,50,22,109.5972
10,50,23,345.2387
10,50,24,353.3996
10,50,25,452.0368
10,50,26,1418.395
10,50,27,395.7129
10,50,28,583.7452
10,50,29,297.9207
10,50,30,970199.1
10,100,1,2141.577
10,100,2,0.0
10,100,3,0.0009594085
10,100,4,0.812211
10,100,5,22.88402
10,100,6,6.348527e-05
10,100,7,53.45892
10,100,8,26.86383
10,100,9,18.23686
10,100,10,683.4379
10,100,11,77.9549
10,100,12,5461.182
10,100,13,1865.534
10,100,14,3533.466
10,100,15,698.4255
10,100,16,1.816815
10,100,17,78.79257
10,100,18,13970.43
10,100,19,6899.042
10,100,20,24.292
10,100,21,216.0404
10,100,22,101.3996
10,100,23,321.8907
10,100,24,344.008
10,100,25,449.8747
10,100,26,474.4085
10,100,27,401.8087
10,100,28,300.0011
10,100,29,411.9214
10,100,30,28436.65
