evaluaciones,generacion,min,promedio,desv_std,mediana,max,mejor_hasta_ahora,tiempo_s
100,0,50987814.0,53544151.16,1154165.972178497,53437972.0,56074478.0,50987814.0,0.020299209005315788
102,1,50987814.0,53505214.06,1133642.6204125339,53382447.0,56023264.0,50987814.0,0.020879917006823234
104,2,50987814.0,53478901.84,1105068.1345703416,53364863.0,56008570.0,50987814.0,0.021306625014403835
106,3,50987814.0,53446005.0,1077904.1751167495,53336559.0,55828722.0,50987814.0,0.0218613750039367
108,4,50987814.0,53425696.58,1051631.9393906707,53336559.0,55772184.0,50987814.0,0.02244050000444986
110,5,50987814.0,53390016.56,1031754.6310478699,53322447.0,55766178.0,50987814.0,0.023006959003396332
112,6,50987814.0,53372506.08,1005811.7309010437,53322447.0,55653160.0,50987814.0,0.023485459008952603
114,7,50987814.0,53341521.56,982533.1096237553,53304731.0,55470110.0,50987814.0,0.024031667009694502
116,8,50987814.0,53315893.54,959839.0712956358,53294348.0,55415878.0,50987814.0,0.024514709002687596
118,9,50987814.0,53290758.04,937160.7475037345,53287914.0,55208580.0,50987814.0,0.024860667006578296
120,10,50987814.0,53254024.24,933252.5511429489,53259281.0,55004612.0,50987814.0,0.025270917001762427
122,11,50987814.0,53224340.42,924263.9493673783,53227376.0,54988480.0,50987814.0,0.02574750001076609
124,12,50987814.0,53191912.84,918669.4399499389,53217399.0,54892564.0,50987814.0,0.026225750014418736
126,13,50987814.0,53176190.1,902745.256767838,53217399.0,54841800.0,50987814.0,0.02672220900421962
128,14,50987814.0,53150875.48,891101.9042915629,53181117.0,54787762.0,50987814.0,0.0272506670007715
130,15,50987814.0,53130006.1,876845.8025008673,53131814.0,54774642.0,50987814.0,0.027774584013968706
132,16,50987814.0,53103714.28,866494.2812038873,53109544.0,54770232.0,50987814.0,0.02824825000425335
134,17,50987814.0,53092712.14,852129.9655548914,53109544.0,54752166.0,50987814.0,0.028727250013616867
136,18,50987814.0,53068600.36,838842.7271865152,53065179.0,54747736.0,50987814.0,0.02919800000381656
138,19,50987814.0,53049110.86,822076.829290852,53008507.0,54698370.0,50987814.0,0.0297687090060208
140,20,50987814.0,53019305.28,815748.0923026431,52978723.0,54677988.0,50987814.0,0.03031220901175402
142,21,50987814.0,52994567.22,802474.2702682446,52961274.0,54627740.0,50987814.0,0.030779042004724033
144,22,50987814.0,52980332.52,785830.4823716942,52961274.0,54572660.0,50987814.0,0.03127058400423266
146,23,50987814.0,52949957.92,782391.1698551778,52932643.0,54431452.0,50987814.0,0.03174337500240654
148,24,50987814.0,52948518.88,779792.983401124,52932643.0,54400336.0,50987814.0,0.03222020900284406
150,25,50987814.0,52930366.68,766805.3740222857,52904818.0,54384174.0,50987814.0,0.032640334000461735
152,26,50987814.0,52908966.66,755715.2869468795,52902328.0,54356072.0,50987814.0,0.03310975000204053
154,27,50987814.0,52890953.02,742357.7015364221,52890373.0,54287548.0,50987814.0,0.033567417005542666
156,28,50987814.0,52867274.6,735161.6977330361,52862226.0,54257794.0,50987814.0,0.034045209002215415
158,29,50987814.0,52850400.6,722304.5956011356,52845847.0,54148944.0,50987814.0,0.034570334013551474
160,30,50987814.0,52838437.3,710509.0671160995,52845847.0,54052994.0,50987814.0,0.03512454200244974
162,31,50987814.0,52814899.0,708870.2558529875,52839748.0,54052940.0,50987814.0,0.03554270901076961
164,32,50987814.0,52791215.0,706672.3196001666,52821077.0,54024460.0,50987814.0,0.03598620901175309
166,33,50987814.0,52774531.4,696987.6204869925,52803552.0,54015130.0,50987814.0,0.03652908401272725
168,34,50987814.0,52763164.28,685842.2610836996,52803552.0,53968802.0,50987814.0,0.03700887500599492
170,35,50987814.0,52752000.7,675128.9263060427,52803552.0,53952958.0,50987814.0,0.03742945900012273
172,36,50987814.0,52739700.28,664253.8984729269,52796614.0,53909188.0,50987814.0,0.037984917013091035
174,37,50987814.0,52739700.28,664253.8984729269,52796614.0,53909188.0,50987814.0,0.03856570900825318
176,38,50987814.0,52737969.96,661424.5779951622,52796614.0,53886586.0,50987814.0,0.039158917003078386
178,39,50987814.0,52717001.96,657905.8865055385,52763619.0,53843188.0,50987814.0,0.03969412500737235
180,40,50987814.0,52699911.16,650586.4767831671,52727856.0,53797880.0,50987814.0,0.040215750006609596
182,41,50987814.0,52684374.08,642684.2062799378,52720901.0,53773274.0,50987814.0,0.040676417003851384
184,42,50987814.0,52679495.4,636218.9488014013,52720901.0,53763274.0,50987814.0,0.04122325000935234
186,43,50987814.0,52671624.66,627572.4483469971,52720901.0,53736156.0,50987814.0,0.041732792000402696
188,44,50987814.0,52662090.24,618504.1725289348,52720901.0,53670018.0,50987814.0,0.04223987500881776
190,45,50987814.0,52654916.2,610885.2604566916,52720901.0,53638476.0,50987814.0,0.04269408401160035
192,46,50987814.0,52647315.62,603281.5796716949,52720901.0,53616132.0,50987814.0,0.04313558401190676
194,47,50987814.0,52634122.8,596336.166602429,52713820.0,53594090.0,50987814.0,0.043651417014189065
196,48,50987814.0,52613922.02,597688.6571765267,52705140.0,53589662.0,50987814.0,0.04415729200991336
198,49,50987814.0,52608410.36,591171.12419396,52705140.0,53563382.0,50987814.0,0.044662625005003065
200,50,50987814.0,52582654.68,604949.2212714201,52701175.0,53553784.0,50987814.0,0.045111209008609876
202,51,50987814.0,52569050.98,598216.2327881446,52692610.0,53518160.0,50987814.0,0.04562225000699982
204,52,50987814.0,52550980.38,596564.1911054129,52667014.0,53502068.0,50987814.0,0.04612687500775792
206,53,50987814.0,52540126.68,588986.9882027765,52629523.0,53495294.0,50987814.0,0.046641959008411504
208,54,50987814.0,52540126.68,588986.9882027765,52629523.0,53495294.0,50987814.0,0.047153500010608695
210,55,50987814.0,52520525.74,589488.5967116687,52597265.0,53483582.0,50987814.0,0.04760050000913907
212,56,50987814.0,52495568.06,600908.6445061315,52585116.0,53448734.0,50987814.0,0.04804575000889599
214,57,50987814.0,52488925.88,593966.9490094425,52585116.0,53427210.0,50987814.0,0.04848370900435839
216,58,50987814.0,52483114.12,587566.5504064587,52585116.0,53392042.0,50987814.0,0.0490938340080902
218,59,50987814.0,52466928.84,584590.7220102748,52577755.0,53337684.0,50987814.0,0.0496717920032097
220,60,50987814.0,52457499.64,578037.4854648359,52562551.0,53335434.0,50987814.0,0.05020633400999941
222,61,50987814.0,52439497.3,578447.8621377989,52554708.0,53320290.0,50987814.0,0.05074262501148041
224,62,50987814.0,52416172.54,589384.23037437,52541163.0,53309460.0,50987814.0,0.051149334001820534
226,63,50987814.0,52392956.08,599380.6998269411,52487997.0,53300002.0,50987814.0,0.051564667010097764
228,64,50987814.0,52380296.46,593428.8852604232,52432537.0,53288694.0,50987814.0,0.05211520900775213
230,65,50987814.0,52380296.46,593428.8852604232,52432537.0,53288694.0,50987814.0,0.05265395900642034
232,66,50987814.0,52366558.1,588118.6683141676,52413200.0,53287134.0,50987814.0,0.05319950000557583
234,67,50987814.0,52361175.84,582101.2917702678,52413200.0,53285406.0,50987814.0,0.05368291700142436
236,68,50812134.0,52336443.12,594712.9549422861,52402233.0,53231428.0,50812134.0,0.05421070900047198
238,69,50812134.0,52319480.84,593132.1150069135,52385529.0,53223324.0,50812134.0,0.05460629200388212
