evaluaciones,generacion,min,promedio,desv_std,mediana,max,mejor_hasta_ahora,tiempo_s
200,1,51046054.0,52904139.22,924973.0446484976,53014486.0,55616192.0,51046054.0,0.04294929199386388
300,2,51046054.0,52521823.98,769723.3206727464,52575615.0,54239512.0,51046054.0,0.06435645799501799
400,3,51046054.0,52222954.48,639363.3294791386,52335638.0,53804048.0,51046054.0,0.08621870800561737
500,4,50016538.0,52083624.54,630715.4165005866,52109948.0,53804048.0,50016538.0,0.10806450000382029
600,5,50016538.0,51908400.5,576037.3748335693,51843339.0,53182790.0,50016538.0,0.12951541700749658
700,6,50016538.0,51719292.56,592315.9981851634,51775328.0,53182790.0,50016538.0,0.1506767920072889
800,7,50016538.0,51592068.0,571223.6024685955,51572567.0,52734772.0,50016538.0,0.1720119999954477
900,8,50016538.0,51507532.64,524790.9069305892,51502541.0,52576332.0,50016538.0,0.1930755829962436
1000,9,50016538.0,51409562.2,507089.53273405274,51450685.0,52558972.0,50016538.0,0.21432199999981094
1100,10,50016538.0,51300791.3,476303.9966338619,51360912.0,52558972.0,50016538.0,0.23532191700360272
1200,11,50016538.0,51253687.24,461552.1632454369,51301857.0,52342534.0,50016538.0,0.25642424999387003
1300,12,50016538.0,51204445.18,461346.1149763457,51225390.0,52342534.0,50016538.0,0.27746524999383837
1400,13,49901744.0,51140127.04,449627.8274380695,51201049.0,52342534.0,49901744.0,0.29863166699942667
1500,14,49901744.0,51096119.62,459649.9768839498,51124583.0,52342534.0,49901744.0,0.3196164170076372
1600,15,49901744.0,51081455.86,457126.2719009053,51085868.0,52342534.0,49901744.0,0.3408955420018174
1700,16,49901744.0,51029953.72,455487.7288245663,51046329.0,52342534.0,49901744.0,0.36226716700184625
1800,17,49891812.0,50960523.84,444378.55790644814,51000118.0,52026024.0,49891812.0,0.3833635420014616
1900,18,49891812.0,50881661.02,465794.54415280523,50891685.0,52026024.0,49891812.0,0.4046502499986673
2000,19,49891812.0,50832336.9,462052.4761866232,50830110.0,51865140.0,49891812.0,0.42595820799760986
2100,20,49853768.0,50775144.26,439454.9483799817,50789955.0,51780434.0,49853768.0,0.44734541700745467
2200,21,49594818.0,50711395.36,455604.42387666786,50755308.0,51780434.0,49594818.0,0.4682085420063231
2300,22,49594818.0,50673456.96,432008.11675832944,50703968.0,51780434.0,49594818.0,0.4888242080050986
2400,23,49594818.0,50636190.1,419043.57124598627,50674271.0,51780434.0,49594818.0,0.5105657079984667
2500,24,49550006.0,50575761.78,423066.7815936293,50603074.0,51780434.0,49550006.0,0.5314382500073407
2600,25,49550006.0,50531767.36,408165.7333130139,50560591.0,51780434.0,49550006.0,0.5532711249979911
2700,26,49550006.0,50512360.76,411438.1104008504,50547208.0,51780434.0,49550006.0,0.574399707998964
2800,27,49527196.0,50437063.78,412030.3110240211,50447689.0,51780434.0,49527196.0,0.596663999996963
2900,28,49527196.0,50406115.98,409510.2092340551,50401368.0,51780434.0,49527196.0,0.6189563329971861
3000,29,49527196.0,50376163.7,408110.5009497673,50373846.0,51780434.0,49527196.0,0.6403154580038972
3100,30,49527196.0,50335474.06,372262.14985286427,50302631.0,51206568.0,49527196.0,0.6618231250031386
3200,31,49527196.0,50295257.0,369025.3311635395,50262633.0,51206568.0,49527196.0,0.6834458329976769
3300,32,49411690.0,50245149.72,363208.78736286325,50199055.0,51206568.0,49411690.0,0.7051409169944236
3400,33,49349400.0,50202205.12,350886.737579558,50184275.0,51206568.0,49349400.0,0.7265389999956824
3500,34,49349400.0,50150498.46,362897.09715056745,50146273.0,51206568.0,49349400.0,0.7477825420064619
3600,35,49280844.0,50100567.36,365914.5774686633,50123137.0,51206568.0,49280844.0,0.76903612499882
3700,36,49280844.0,50056420.26,350061.4646051353,50079470.0,51206568.0,49280844.0,0.7903205420006998
3800,37,48917180.0,50016803.22,358668.3498095582,50041547.0,51168542.0,48917180.0,0.8117883749946486
3900,38,48917180.0,49964950.4,345584.08726838103,50013186.0,50754258.0,48917180.0,0.8331020829937188
4000,39,48917180.0,49906291.74,359968.37858919275,49956599.0,50694162.0,48917180.0,0.8543052919994807
4100,40,48917180.0,49855152.42,356572.28532327584,49902902.0,50694162.0,48917180.0,0.875555999999051
4200,41,48907122.0,49820906.28,359268.918010453,49876718.0,50694162.0,48907122.0,0.8967977080028504
4300,42,48907122.0,49787718.66,373180.02119224495,49869390.0,50694162.0,48907122.0,0.9177654999948572
4400,43,48907122.0,49754100.88,371380.03576771007,49843320.0,50694162.0,48907122.0,0.9383078749960987
4500,44,48907122.0,49726778.66,366849.17324743205,49836869.0,50547296.0,48907122.0,0.9591904999979306
4600,45,48907122.0,49700059.88,356925.19543734315,49779052.0,50255392.0,48907122.0,0.9803279579937225
4700,46,48311072.0,49659196.86,381066.63747688587,49738405.0,50255392.0,48311072.0,1.0010254999942845
4800,47,48311072.0,49607973.86,395517.2433251683,49626932.0,50255392.0,48311072.0,1.0223129999940284
4900,48,48311072.0,49588160.78,405416.262885237,49604416.0,50255392.0,48311072.0,1.043024750004406
5000,49,48311072.0,49564843.0,403618.1175437495,49591863.0,50255392.0,48311072.0,1.0638215829967521
5100,50,48311072.0,49530051.96,392633.428749003,49547265.0,50255392.0,48311072.0,1.0847972920018947
5200,51,48311072.0,49491446.16,383119.5661457848,49523351.0,50214502.0,48311072.0,1.1058727920026286
5300,52,48311072.0,49463698.66,390283.0325236346,49448903.0,50214502.0,48311072.0,1.1269761250005104
5400,53,48311072.0,49406004.84,407146.1144698969,49416576.0,50214502.0,48311072.0,1.1482826669962378
5500,54,48311072.0,49380058.3,403330.2868107353,49398363.0,50214502.0,48311072.0,1.169225916994037
5600,55,48311072.0,49363229.96,391587.5097002947,49393020.0,50146602.0,48311072.0,1.1900445829960518
5700,56,48311072.0,49326595.78,387644.4696163633,49340258.0,50144896.0,48311072.0,1.2104939999990165
5800,57,48272486.0,49300764.68,377432.5761760603,49314589.0,50144896.0,48272486.0,1.2309886250004638
5900,58,48272486.0,49285455.28,371090.5012407103,49295318.0,50085244.0,48272486.0,1.251992749996134
6000,59,48252672.0,49250681.86,389102.63565668685,49277947.0,50085244.0,48252672.0,1.2726670830015792
6100,60,48252672.0,49214948.78,376216.2808138845,49238156.0,49944320.0,48252672.0,1.2939628750027623
6200,61,48252672.0,49197305.94,367649.5334303532,49202235.0,49944320.0,48252672.0,1.31532129200059
6300,62,48252672.0,49185397.46,369778.1625754398,49196956.0,49944320.0,48252672.0,1.3369020829995861
6400,63,48252672.0,49176822.94,365847.44644099456,49196956.0,49944320.0,48252672.0,1.3573580420052167
6500,64,48252672.0,49122184.48,363102.8676866235,49171066.0,49944320.0,48252672.0,1.3778457500011427
6600,65,48252672.0,49084628.46,361436.36662725074,49139958.0,49944320.0,48252672.0,1.3987703750026412
6700,66,48252672.0,49036283.04,352096.2790400921,49089875.0,49944320.0,48252672.0,1.419673958007479
6800,67,48218886.0,49006562.98,368420.65077294403,49074307.0,49944320.0,48218886.0,1.4413258330023382
6900,68,48218886.0,48974436.92,371399.92839917674,49018839.0,49944320.0,48218886.0,1.4627865829970688
7000,69,48218886.0,48943238.2,370048.01136376883,48982197.0,49944320.0,48218886.0,1.4838531669956865
7100,70,48218886.0,48891164.84,356353.3959132344,48902582.0,49944320.0,48218886.0,1.5051593749958556
7200,71,48111172.0,48843843.7,349891.56233214604,48837773.0,49547016.0,48111172.0,1.5258223749988247
7300,72,47767790.0,48804147.28,354191.54906084586,48807083.0,49547016.0,47767790.0,1.5463580829964485
7400,73,47767790.0,48791489.34,351758.7736398971,48796092.0,49547016.0,47767790.0,1.5674926670035347
7500,74,47767790.0,48757759.44,356435.79098537005,48773721.0,49547016.0,47767790.0,1.588429166993592
7600,75,47767790.0,48731129.2,348951.7962099637,48743153.0,49541094.0,47767790.0,1.6095927499991376
7700,76,47767790.0,48711029.14,350819.97516233363,48734855.0,49541094.0,47767790.0,1.6306807920045685
7800,77,47767790.0,48687898.76,351244.9057291826,48689825.0,49541094.0,47767790.0,1.6516202079947107
7900,78,47767790.0,48657922.84,348337.42894098297,48642159.0,49541094.0,47767790.0,1.6723260419967119
8000,79,47767790.0,48642653.08,341082.5898558201,48617481.0,49382616.0,47767790.0,1.6927538750023814
8100,80,47767790.0,48608991.74,332081.27547269565,48583783.0,49382616.0,47767790.0,1.7137917500076583
8200,81,47767790.0,48585402.78,327768.3726856995,48560814.0,49382616.0,47767790.0,1.7353222079982515
8300,82,47767790.0,48556287.38,334588.383689057,48526678.0,49382616.0,47767790.0,1.7563330419943668
8400,83,47767790.0,48535403.0,341874.73197421303,48505244.0,49382616.0,47767790.0,1.7765695830021286
8500,84,47767790.0,48516862.18,342618.7032896009,48470542.0,49382616.0,47767790.0,1.7972161670040805
8600,85,47767790.0,48482627.32,318164.30165450304,48425015.0,49228548.0,47767790.0,1.8179678750020685
8700,86,47767790.0,48446653.18,314552.72341305146,48419427.0,49148544.0,47767790.0,1.8392957920004847
8800,87,47526020.0,48402395.7,302709.0360078966,48401458.0,49148544.0,47526020.0,1.8604413749999367
8900,88,47493618.0,48374859.74,308367.52296059387,48389421.0,49148544.0,47493618.0,1.881702333004796
9000,89,47493618.0,48354060.6,301845.0777408172,48364878.0,49148544.0,47493618.0,1.9026933749992168
9100,90,47493618.0,48325569.36,292315.6931547644,48319265.0,49148544.0,47493618.0,1.9234528329980094
9200,91,47493618.0,48302787.48,281083.63384026755,48297057.0,49061318.0,47493618.0,1.9446998329949565
9300,92,47493618.0,48273420.4,276315.6873783318,48269063.0,49061318.0,47493618.0,1.965768374997424
9400,93,47493618.0,48254237.9,276352.1491573206,48253875.0,49061318.0,47493618.0,1.9865475830010837
9500,94,47493618.0,48234803.64,267632.3104223973,48248325.0,49061318.0,47493618.0,2.007842167004128
9600,95,47493618.0,48225858.26,266911.73786653223,48240451.0,49061318.0,47493618.0,2.02904066699557
9700,96,47493618.0,48203759.4,263914.7758613754,48191938.0,49061318.0,47493618.0,2.0506629580049776
9800,97,47493618.0,48164870.8,259986.18606087513,48163770.0,49061318.0,47493618.0,2.0717131669953233
9900,98,47493618.0,48138238.72,248209.31842419133,48146750.0,49061318.0,47493618.0,2.0927234169939766
10000,99,47493618.0,48124042.5,244119.70813457482,48134729.0,48942100.0,47493618.0,2.1131979170022532
10000,100,47493618.0,48124042.5,244119.70813457482,48134729.0,48942100.0,47493618.0,2.113869499997236
