problema,algoritmo,adaptacion,semilla,fitness,tiempo_s,cec_error,qap_instancia,ruta_metricas
qap,age,age_qap,1,46612274.0,2.5328566249954747,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s1
qap,age,age_qap,2,47017836.0,2.5591575840080623,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s2
qap,age,age_qap,3,46810612.0,2.522050291998312,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s3
qap,age,age_qap,4,46974696.0,2.5058335419889772,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s4
qap,age,age_qap,5,46411418.0,2.526326125007472,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s5
qap,age,age_qap,6,46806110.0,2.5280584590072976,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s6
qap,age,age_qap,7,46741914.0,2.5273991670110263,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s7
qap,age,age_qap,8,46675384.0,2.530113542001345,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s8
qap,age,age_qap,9,46851884.0,2.5398674579919316,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s9
qap,age,age_qap,10,47017156.0,2.5295129169971915,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s10
qap,age,age_qap,11,46726158.0,2.5309249999991152,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s11
qap,age,age_qap,12,47243754.0,2.525453499998548,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s12
qap,age,age_qap,13,46874148.0,2.5348153749946505,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s13
qap,age,age_qap,14,46739682.0,2.5301574579934822,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s14
qap,age,age_qap,15,46835942.0,2.546084792003967,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s15
qap,age,age_qap,16,46895712.0,2.5287430829921504,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s16
qap,age,age_qap,17,46755560.0,2.604533707999508,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s17
qap,age,age_qap,18,46824642.0,2.554371624995838,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s18
qap,age,age_qap,19,46607522.0,2.5367755420011235,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s19
qap,age,age_qap,20,46621016.0,2.524176584003726,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/age/age_qap_tai256c_s20
qap,de,de_qap,1,47769024.0,2.142163290991448,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s1
qap,de,de_qap,2,48549914.0,2.184567499993136,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s2
qap,de,de_qap,3,47896352.0,2.1654744170082267,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s3
qap,de,de_qap,4,47493618.0,2.1452042090095347,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s4
qap,de,de_qap,5,47763244.0,2.138741583999945,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s5
qap,de,de_qap,6,47772960.0,2.1386376669979654,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s6
qap,de,de_qap,7,46916222.0,2.190528749997611,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s7
qap,de,de_qap,8,47306112.0,2.126070375001291,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s8
qap,de,de_qap,9,47518856.0,2.1300863750075223,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s9
qap,de,de_qap,10,47936466.0,2.208947542007081,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s10
qap,de,de_qap,11,47741234.0,2.29410137499508,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s11
qap,de,de_qap,12,47567644.0,2.1175694160046987,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s12
qap,de,de_qap,13,47869824.0,2.1377794589934638,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s13
qap,de,de_qap,14,47497078.0,2.1548884170042584,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s14
qap,de,de_qap,15,47483776.0,2.204686832992593,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s15
qap,de,de_qap,16,47732990.0,2.1331870419962797,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s16
qap,de,de_qap,17,48418124.0,2.169663541993941,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s17
qap,de,de_qap,18,47088208.0,2.3462438749993453,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s18
qap,de,de_qap,19,48199248.0,2.1870041670044884,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s19
qap,de,de_qap,20,47545010.0,2.2236953749961685,,tai256c,results/experimentos_mhs_puras_ambos_qap/metricas_runs/qap/de/de_qap_tai256c_s20
