funcid,dim,milestone,error
26,100,1,1.958704e+04
26,100,2,1.936693e+04
26,100,3,1.936075e+04
26,100,1,1.875221e+04
26,100,2,1.855017e+04
26,100,3,1.854379e+04
26,100,1,2.140795e+04
26,100,2,2.136214e+04
26,100,3,2.135767e+04
26,100,1,1.697823e+04
26,100,2,1.688011e+04
26,100,3,1.687468e+04
26,100,1,1.742464e+04
26,100,2,1.735790e+04
26,100,3,1.735351e+04
26,100,1,1.844382e+04
26,100,2,1.830540e+04
26,100,3,1.830001e+04
26,100,1,1.716811e+04
26,100,2,1.702176e+04
26,100,3,1.701712e+04
26,100,1,1.866287e+04
26,100,2,1.843100e+04
26,100,3,1.842522e+04
26,100,1,1.958047e+04
26,100,2,1.898649e+04
26,100,3,1.897946e+04
26,100,1,1.822347e+04
26,100,2,1.809331e+04
26,100,3,1.809034e+04
26,100,1,2.267762e+04
26,100,2,2.256270e+04
26,100,3,2.256031e+04
26,100,1,1.909945e+04
26,100,2,1.892398e+04
26,100,3,1.891465e+04
26,100,1,1.716281e+04
26,100,2,1.688426e+04
26,100,3,1.687781e+04
26,100,1,1.914832e+04
26,100,2,1.894070e+04
26,100,3,1.893547e+04
26,100,1,3.293539e+04
26,100,2,3.259505e+04
26,100,3,3.259072e+04
26,100,1,1.962989e+04
26,100,2,1.949867e+04
26,100,3,1.949468e+04
26,100,1,2.119401e+04
26,100,2,2.114135e+04
26,100,3,2.113773e+04
26,100,1,1.655865e+04
26,100,2,1.646632e+04
26,100,3,1.646198e+04
26,100,1,1.378546e+04
26,100,2,1.360293e+04
26,100,3,1.359606e+04
26,100,1,2.146660e+04
26,100,2,2.133926e+04
26,100,3,2.133528e+04
26,100,1,1.469768e+04
26,100,2,1.455287e+04
26,100,3,1.454651e+04
26,100,1,1.854206e+04
26,100,2,1.844254e+04
26,100,3,1.843793e+04
26,100,1,2.201464e+04
26,100,2,2.141230e+04
26,100,3,2.140397e+04
26,100,1,1.893425e+04
26,100,2,1.881943e+04
26,100,3,1.881400e+04
26,100,1,1.642522e+04
26,100,2,1.597474e+04
26,100,3,1.597141e+04
