funcid,dim,milestone,error
1,100,1,1.708728e+10
1,100,1,1.708728e+10
1,100,2,4.411748e+09
1,100,3,3.077405e+08
1,100,5,2.746548e+06
1,100,1,1.708728e+10
1,100,2,4.411748e+09
1,100,3,3.077405e+08
1,100,5,2.746548e+06
1,100,10,1.041876e+06
1,100,1,1.708728e+10
1,100,2,4.411748e+09
1,100,3,3.077405e+08
1,100,5,2.746548e+06
1,100,10,1.041876e+06
1,100,20,5.869184e+05
1,100,1,1.708728e+10
1,100,2,4.411748e+09
1,100,3,3.077405e+08
1,100,5,2.746548e+06
1,100,10,1.041876e+06
1,100,20,5.869184e+05
1,100,30,4.832104e+05
1,100,40,4.181791e+05
1,100,50,2.954900e+05
1,100,1,1.708728e+10
1,100,2,4.411748e+09
1,100,3,3.077405e+08
1,100,5,2.746548e+06
1,100,10,1.041876e+06
1,100,20,5.869184e+05
1,100,30,4.832104e+05
1,100,40,4.181791e+05
1,100,50,2.954900e+05
1,100,60,2.939838e+05
1,100,70,2.891890e+05
1,100,80,2.415736e+05
1,100,90,2.349520e+05
1,100,100,2.323686e+05
