funcid,dim,milestone,error
22,100,1,3.389270e+04
22,100,2,3.267326e+04
22,100,3,3.267326e+04
22,100,1,3.249182e+04
22,100,2,3.249182e+04
22,100,3,3.249182e+04
22,100,1,3.330098e+04
22,100,2,3.248228e+04
22,100,3,3.248228e+04
22,100,1,3.366499e+04
22,100,2,3.308543e+04
22,100,3,3.308543e+04
22,100,1,3.418976e+04
22,100,2,3.232016e+04
22,100,3,3.232016e+04
22,100,1,3.272883e+04
22,100,2,3.272883e+04
22,100,3,3.272883e+04
22,100,1,3.222524e+04
22,100,2,3.222524e+04
22,100,3,3.222524e+04
22,100,1,3.298817e+04
22,100,2,3.298817e+04
22,100,3,3.161768e+04
22,100,1,3.321859e+04
22,100,2,3.230182e+04
22,100,3,3.230182e+04
22,100,1,3.283643e+04
22,100,2,3.283643e+04
22,100,3,3.283643e+04
22,100,1,3.260121e+04
22,100,2,3.260121e+04
22,100,3,3.260121e+04
22,100,1,3.148011e+04
22,100,2,3.148011e+04
22,100,3,3.148011e+04
22,100,1,3.303702e+04
22,100,2,3.303702e+04
22,100,3,3.303702e+04
22,100,1,3.115414e+04
22,100,2,3.115414e+04
22,100,3,3.115414e+04
22,100,1,3.164510e+04
22,100,2,3.119790e+04
22,100,3,3.119790e+04
22,100,1,3.257787e+04
22,100,2,3.257787e+04
22,100,3,3.257787e+04
22,100,1,3.275251e+04
22,100,2,3.275251e+04
22,100,3,3.272143e+04
22,100,1,3.224025e+04
22,100,2,3.224025e+04
22,100,3,3.224025e+04
22,100,1,3.326015e+04
22,100,2,3.293187e+04
22,100,3,3.293187e+04
22,100,1,3.374543e+04
22,100,2,3.374543e+04
22,100,3,3.374543e+04
22,100,1,3.163930e+04
22,100,2,3.163930e+04
22,100,3,3.163930e+04
22,100,1,3.283711e+04
22,100,2,3.283711e+04
22,100,3,3.255878e+04
22,100,1,3.344496e+04
22,100,2,3.277977e+04
22,100,3,3.277977e+04
22,100,1,3.309591e+04
22,100,2,3.264083e+04
22,100,3,3.264083e+04
22,100,1,3.085731e+04
22,100,2,3.085731e+04
22,100,3,3.085731e+04
