ok,config_id,algoritmo,funcion,seed,batch_train,kernel,epsilon,smoothing,neighbors,degree,spearman,nrmse,nmae,elapsed_s,warnings,error,n_train,n_val
True,1,shade,f22,1,1,linear,0.01,1e-06,25,-1,0.9190609765244133,0.000699294201474876,0.00045577514140126944,0.004325417103245854,,,800,200
True,1,shade,f22,1,2,linear,0.01,1e-06,25,-1,0.9499212480312008,0.0016076833097324794,0.00048301256171697746,0.0033461670391261578,,,800,200
True,1,shade,f22,1,3,linear,0.01,1e-06,25,-1,0.7631515787894698,0.007952248723434915,0.0015855676498731399,0.0037975830491632223,,,800,200
True,1,shade,f22,1,4,linear,0.01,1e-06,25,-1,0.7825095627390686,0.001027528984306279,0.0003821827340241379,0.003875582944601774,,,800,200
True,2,shade,f22,1,1,linear,0.01,1e-06,50,-1,0.9302512562814071,0.0006316873024721349,0.0004022471634381919,0.0073289580177515745,,,800,200
True,2,shade,f22,1,2,linear,0.01,1e-06,50,-1,0.9531388284707119,0.000713786089687899,0.0003377943063767855,0.007045916980132461,,,800,200
True,2,shade,f22,1,3,linear,0.01,1e-06,50,-1,0.7799519987999701,0.03790197672780435,0.0037827828333410456,0.007487958064302802,,,800,200
True,2,shade,f22,1,4,linear,0.01,1e-06,50,-1,0.7784579614490363,0.0008146261788875534,0.0003601166604350378,0.007577416021376848,,,800,200
True,3,shade,f22,1,1,linear,0.01,1e-06,100,-1,0.9323603090077253,0.000618016208022588,0.0003834501455199743,0.017560125095769763,,,800,200
True,3,shade,f22,1,2,linear,0.01,1e-06,100,-1,0.9491667291682294,0.003009421229540411,0.0005170125076736392,0.0160367910284549,,,800,200
True,3,shade,f22,1,3,linear,0.01,1e-06,100,-1,0.7638730968274208,0.010755088992712046,0.001969532989059138,0.01649712515063584,,,800,200
True,3,shade,f22,1,4,linear,0.01,1e-06,100,-1,0.7968844221105529,0.0006740304474610329,0.00030756167209001535,0.01651537511497736,,,800,200
True,4,shade,f22,1,1,linear,0.01,0.0001,25,-1,0.8405580139503488,0.0011496318470805467,0.0008435813579181905,0.0034986669197678566,,,800,200
True,4,shade,f22,1,2,linear,0.01,0.0001,25,-1,0.6460181504537614,0.015571455095497089,0.002603504312151688,0.0032615421805530787,,,800,200
True,4,shade,f22,1,3,linear,0.01,0.0001,25,-1,0.8088697217430436,0.003929993185873176,0.0018084834937608415,0.0036777500063180923,,,800,200
True,4,shade,f22,1,4,linear,0.01,0.0001,25,-1,0.7278271956798921,0.006146525469316213,0.0022942797364246914,0.0037977921310812235,,,800,200
True,5,shade,f22,1,1,linear,0.01,0.0001,50,-1,0.8702857571439288,0.0009675628150754315,0.0007334300294040895,0.007233457872644067,,,800,200
True,5,shade,f22,1,2,linear,0.01,0.0001,50,-1,0.5697817445436136,0.21870172155884338,0.016944804751262425,0.007007000036537647,,,800,200
True,5,shade,f22,1,3,linear,0.01,0.0001,50,-1,0.8062806570164256,0.012534294133781784,0.0027802184789058972,0.007468415889889002,,,800,200
True,5,shade,f22,1,4,linear,0.01,0.0001,50,-1,0.5575459386484662,0.01011597085213438,0.0032837694949084074,0.0075642080046236515,,,800,200
True,6,shade,f22,1,1,linear,0.01,0.0001,100,-1,0.8875301882547065,0.0009094076558839855,0.0006832074945833524,0.016145542031154037,,,800,200
True,6,shade,f22,1,2,linear,0.01,0.0001,100,-1,0.16034350858771473,0.007820192076501165,0.0029618782657267395,0.0159401660785079,,,800,200
True,6,shade,f22,1,3,linear,0.01,0.0001,100,-1,0.7814385359633992,0.008639199451401954,0.002193696506911741,0.016417417209595442,,,800,200
True,6,shade,f22,1,4,linear,0.01,0.0001,100,-1,-0.48446711167779194,0.020479654098767452,0.010007906226377284,0.016444208100438118,,,800,200
True,7,shade,f22,1,1,linear,0.01,0.001,25,-1,-0.15137328433210834,0.03286217896348921,0.0061270364296301515,0.00342399999499321,,,800,200
True,7,shade,f22,1,2,linear,0.01,0.001,25,-1,0.4644236105902648,0.007146136093558433,0.004055497897466849,0.0032450419384986162,,,800,200
True,7,shade,f22,1,3,linear,0.01,0.001,25,-1,0.3705437635940899,0.326929482903063,0.04313006042407394,0.0036690421402454376,,,800,200
True,7,shade,f22,1,4,linear,0.01,0.001,25,-1,0.6695882397059928,0.02422765127299504,0.004870129254070428,0.0037626251578330994,,,800,200
True,8,shade,f22,1,1,linear,0.01,0.001,50,-1,0.5762409060226507,0.012299362215004061,0.005170717158720182,0.007198542123660445,,,800,200
True,8,shade,f22,1,2,linear,0.01,0.001,50,-1,0.48264606615165384,0.008082027579288066,0.00309684041991021,0.006980833830311894,,,800,200
True,8,shade,f22,1,3,linear,0.01,0.001,50,-1,0.8265341633540839,0.002915736419060873,0.0017416913833864561,0.007464957889169455,,,800,200
True,8,shade,f22,1,4,linear,0.01,0.001,50,-1,0.7053731343283584,0.005597438571973202,0.0025417832095827046,0.00752037507481873,,,800,200
True,9,shade,f22,1,1,linear,0.01,0.001,100,-1,0.6027915697892449,0.0016114737609540597,0.001289809260728728,0.016182791907340288,,,800,200
True,9,shade,f22,1,2,linear,0.01,0.001,100,-1,0.4119207980199506,0.00470658862151928,0.0026916764699160462,0.016008042031899095,,,800,200
True,9,shade,f22,1,3,linear,0.01,0.001,100,-1,0.7396069901747545,0.006772217844490855,0.0022819704505691427,0.016503750113770366,,,800,200
True,9,shade,f22,1,4,linear,0.01,0.001,100,-1,0.5607005175129378,0.06789845130633676,0.007579570379480978,0.016447082860395312,,,800,200
True,10,shade,f22,1,1,linear,0.01,0.01,25,-1,-0.3268401710042751,0.0019113537252140632,0.0016692868942735377,0.003445124952122569,,,800,200
True,10,shade,f22,1,2,linear,0.01,0.01,25,-1,-0.4217175429385735,0.003922301277910951,0.0020819886606802365,0.0032749578822404146,,,800,200
